,category,title,body
3349,insults,a limerick from me to you,"roses are red, violets are blue. yo momma is ugly, and she looks just like you."
3356,other / misc,condom,"what did the dick say to the condom? cover me, i am goin in!"
3359,blond,caution...blonde x-ing,q  what did the blonde say when she crossed the road? a  hey! how would i get over here?
3361,yo momma,brick,yo momma is like a brick. she is flat on all sides and gets laid all day.
3363,knock-knock,ivanna,"knock knock who is there? ivanna ivanna who? ivanna come in, dammit!"
3365,yo momma,so fat,yo momma so fat that when she went out dressed in green she got arrested for driving a tank.
3366,other / misc,humpty dumpty,why did humpty dumpty go to the shrink? cause he was half cracked.
3374,yo momma,my eyes!,"yo momma is so ugly, she looked at me and my eyes burned off."
3381,yo momma,blind,"yo momma can be used as a weapon  she is so ugly, she will blind house robbers!"
3382,other / misc,chicken,why did the chicken cross the road? to get away from kfc
3386,knock-knock,pencil,knock knock! who is there? pencil. pencil who? pencil fall down if you do not wear a belt.
3392,one liners,a wise man,a wise man once said. i do not know ask a girl! a wise man once said. life sucks and then we die.
3393,one liners,insanity,i did not lose my mind! i sold it on ebay...
3424,one liners,penny and nickel,why did the penny become angry with the nickel? because the nickel was a  penny pincher .
3425,one liners,bartering tradesmen,what did one tradesman say to another? i hope you have a  barter  day tomorrow.
3429,knock-knock,no one,knock knock. who is there? no one. no one who? no one to tell you who is here!
3431,blond,walkman,why did the blonde bury her walkman? because the batteries were dead.
3432,blond,farm,how does a stereotypical blonde spell  farm ? e i e i o
3438,one liners,mexican and bench,what is the difference between a mexican and a bench? a bench can support a whole family.
3447,one liners,a superman,"girl,  oh, superman i love you so much!  superman, i do not blame you. "
3448,puns,milk,"cat 1  so how would that milk drinking contest go? cat 2  oh, i won by six laps."
3465,men / women,forest,"if a man speaks in the middle of the forest and no women are around to hear him, is he still wrong?"
3466,puns,bee phrases,some common phrases that bees should know  are you are hipbee? how comb? hive already finished.
3477,insults,stupidity is not a crime!,stupidity is not a crime... so you are free to go!
3478,insults,you're so old,you are so old your social security number is 1!
3481,medical,schizophrenic,"i may be schizophrenic, but at least i have each other"
3482,insults,incubator,"you were so ugly as a baby, your incubator was tinted."
3487,one liners,family traditions,"my family has no traditions. we just do the same thing, over and over again, each year."
3488,knock-knock,estelle,knock knock? who is there? estelle. estelle who? estelle am waiting for you to open this door!
3490,one liners,dog's name?, so what is your dog is name?   i do not know. he will not tell me. 
3493,puns,who saw it?,forest warden   which of you saw this rare tree get cut down? camper   only the chain saw. 
3497,one liners,do you...,doctor   do you smoke or drink?  patient   i did not know i had a choice. 
3501,yo momma,too short,yo momma so short that when she sat on the curb her legs swing
3510,one liners,ignorance and apathy, what is the difference between ignorance and apathy?   i do not know  and i could not care less. 
3513,other / misc,two lefties,"a man with two left feet walked into a shoe store and asked,   do you have any flip flips? "
3532,knock-knock,pile up,"knock knock who is there? i am a pile up. i am a pile up who? yes, you are a pile of poo!"
3534,other / misc,baad!!!!!!,q  why do black people have white hands? a  everyone has a little good in them
3539,animal,the animal loan,"q  what do you call it, when a bison gets a loan? a  a buffa loan!"
3540,gross,grab the nuts,daddy  get the nuts son bobby  yes dad daddy  ouch!
3560,medical,book in the hospital,why did the book have to go to the hospital? because it injured its spine.
3562,puns,eminem/ m & m,"eminem  m   m  i do not like the rapper, but i like the candy inside the wrapper."
3565,puns,television,you know you are a redneck when your brand new tv is sitting on your old ones.
3568,one liners,it's only funny...,it is only funny until someone gets hurt... then it is hilarious!
3573,yo momma,breath,yo mammas breath so nasty that when she burps her teeth have to duck
3576,yo momma,sleeping,your mom is so stupid she tried to wake up a sleeping bag.
3583,puns,frogs?,do you know what style of shoes a frog loves most? open toad!
3584,puns,two peanuts,"two peanuts walk into a bar, and one was a salted."
3588,yo momma,teeth,your momma is teeth are so yellow that when she smiles people slow down!
3589,one liners,drink and drive,"do not drink and drive, you will spill your beer."
3591,yo momma,shoot-out,"yo momma so stupid, she got stabbed in a shoot out."
3592,yo momma,to church,"yo momma so poor, she wore her mcdonalds uniform to church."
3594,animal,silly monkey,what kind of monkey eats chips? a chipmunk!
3600,one liners,"bed, bath, and beyond","i work at bed, bath and beyond in the 'beyond' dept."
3603,lightbulb,add,"q. how many add kids does it take to change a light bulb? a. hey, let is go ride bikes!"
3609,one liners,can you understand binary?,there are 10 kinds of people in the world. those who can do binary and those who can not.
3612,puns,pirates' money,how much does it cost for a pirate to get his ears pierced? a buck an ear.
3613,one liners,bald men - an unanswered question,do bald men wash their head with soap or shampoo?
3620,yo momma,so small,"yo momma so small, she held up a sign that said  do not spit, i can not swim. "
3621,redneck,dog farts,if your dog farts and you claim it... you might be a redneck.
3625,yo momma,not dreams...,yo momma so fat she doesnt have dreams... she has motion pictures!
3628,blond,milk drinking blond,q  how did the blonde die drinking milk? a  the cow fell on her.
3629,blond,peroxide blond,q  what do peroxide blondes and black men have in common? a  they both have black roots.
3630,blond,bleached blond,q  what do you call it when a blonde dyes their hair brunette? a  artificial intelligence.
3633,yo momma,funky,"yo mama is so funky, they closed the beaches for a week after she drained her bath water."
3634,yo momma,poor (old but funny),yo mama is so poor she can not even pay attention.
3636,puns,peculiarities,what is more peculiar than watching a catfish? watching a goldfish bowl.
3641,other / misc,banana,why did the banana go to the doctors? because it was not peeling well
3642,animal,elephant,what do elephants always bring on holiday? a trunk.
3643,sports,football,why is a football pitch so cold? because of all the fans
3644,one liners,martians,what are martians favorite sweets? mars mallows.
3645,animal,pig,what do you give a sick pig? oinkment.
3646,animal,fish,which fish is the most valuable in the sea? a goldfish.
3647,other / misc,see saw,what type of saw cuts the sea? a see saw.
3648,other / misc,noisiest part,what is the noisiest part of a tree? its bark.
3660,news / politics,chimonken,what do you get when you cross a chicken with a monkey? george w. bush
3661,gross,gross -- not funny #4,what is grosser than gross? when you find a used tampon in your ketchup bottle.
3664,puns,flower bed,my mouth has turned into a flower bed. it has tulips.
3672,one liners,what drives women wild,"q. what is six inches long, two inches wide, and drives women wild? a. money."
3682,one liners,always be smarter,always be smarter than the inanimate object that you are working with.
3689,one liners,mexican anthem,what are the first 4 words in the mexican national anthem?  attention all k mart shoppers 
3690,other / misc,why did the turtle.....,q  why did the turtle cross the road? a to get to the shell gas station!
3691,puns,a spanish man,what do you call a spanish man with a rubber toe? answer  roberto.
3707,other / misc,tiger woods,"yo momma so stupid, she thought that tiger woods was a place that was dangerous."
3713,other / misc,fishermen,what do you call the best fishermen in the state? master baiters
3714,yo momma,laser tag,"yo momma so stupid, she tried to cut through a safe with a laser tag gun!"
3717,one liners,conway's law,in any organization there is one person who knows what is going on. that person must be fired.
